Final area = 301489.99999999994
Black area = 121988.99999999994

block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb0 (634.0,267.0) (677.0,300.0)
sb1 (612.0,372.0) (677.0,409.0)
sb2 (677.0,253.0) (730.0,287.0)
sb3 (395.0,200.0) (432.0,267.0)
sb4 (496.0,266.0) (525.0,285.0)
sb5 (677.0,158.0) (716.0,207.0)
sb6 (677.0,306.0) (717.0,324.0)
sb7 (612.0,267.0) (634.0,307.0)
sb8 (557.0,326.0) (607.0,388.0)
sb9 (596.0,267.0) (612.0,308.0)
sb10 (612.0,307.0) (630.0,359.0)
sb11 (557.0,267.0) (596.0,326.0)
sb12 (496.0,158.0) (557.0,186.0)
sb13 (557.0,158.0) (605.0,215.0)
sb14 (432.0,158.0) (495.0,201.0)
sb15 (606.0,215.0) (665.0,267.0)
sb16 (248.0,279.0) (284.0,336.0)
sb17 (351.0,200.0) (395.0,266.0)
sb18 (496.0,215.0) (544.0,266.0)
sb19 (123.0,233.0) (154.0,283.0)
sb20 (677.0,287.0) (714.0,306.0)
sb21 (432.0,261.0) (496.0,311.0)
sb22 (557.0,215.0) (606.0,249.0)
sb23 (605.0,158.0) (625.0,207.0)
sb24 (66.0,385.0) (111.0,413.0)
sb25 (284.0,317.0) (338.0,356.0)
sb26 (165.0,336.0) (220.0,376.0)
sb27 (647.0,307.0) (672.0,372.0)
sb28 (677.0,207.0) (716.0,253.0)
sb29 (66.0,233.0) (90.0,295.0)
sb30 (432.0,235.0) (456.0,261.0)
sb31 (432.0,201.0) (458.0,235.0)
sb32 (394.0,83.0) (437.0,136.0)
sb33 (664.0,77.0) (686.0,112.0)
sb34 (92.0,277.0) (119.0,331.0)
sb35 (165.0,279.0) (196.0,317.0)
sb36 (338.0,295.0) (377.0,362.0)
sb37 (123.0,325.0) (143.0,385.0)
sb38 (284.0,200.0) (307.0,257.0)
sb39 (196.0,279.0) (248.0,334.0)
sb40 (66.0,295.0) (92.0,324.0)
sb41 (307.0,240.0) (334.0,295.0)
sb42 (66.0,0) (128.0,53.0)
sb43 (496.0,285.0) (557.0,331.0)
sb44 (199.0,0) (264.0,47.0)
sb45 (92.0,233.0) (115.0,277.0)
sb46 (284.0,295.0) (323.0,317.0)
sb47 (66.0,200.0) (131.0,233.0)
sb48 (66.0,331.0) (123.0,358.0)
sb49 (237.0,200.0) (284.0,265.0)
sb50 (165.0,247.0) (232.0,279.0)
sb51 (377.0,295.0) (415.0,352.0)
sb52 (183.0,200.0) (237.0,245.0)
sb53 (351.0,267.0) (394.0,288.0)
sb54 (646.0,77.0) (664.0,138.0)
sb55 (360.0,83.0) (394.0,139.0)
sb56 (630.0,307.0) (647.0,370.0)
sb57 (165.0,200.0) (183.0,247.0)
sb58 (350.0,0) (396.0,34.0)
sb59 (300.0,0) (350.0,37.0)
sb60 (686.0,72.0) (726.0,95.0)
sb61 (686.0,49.0) (719.0,72.0)
sb62 (360.0,139.0) (420.0,158.0)
sb63 (560.0,0) (596.0,45.0)
sb64 (596.0,83.0) (646.0,130.0)
sb65 (539.0,83.0) (596.0,139.0)
sb66 (493.0,0) (560.0,61.0)
sb67 (307.0,200.0) (351.0,240.0)
sb68 (248.0,47.0) (300.0,110.0)
sb69 (646.0,22.0) (700.0,49.0)
sb70 (123.0,283.0) (165.0,325.0)
sb71 (646.0,0) (710.0,22.0)
sb72 (437.0,83.0) (498.0,144.0)
sb73 (432.0,0) (493.0,67.0)
sb74 (66.0,158.0) (104.0,200.0)
sb75 (646.0,49.0) (665.0,77.0)
sb76 (161.0,77.0) (183.0,110.0)
sb77 (0,201.0) (66.0,258.0)
sb78 (396.0,0) (432.0,32.0)
sb79 (300.0,83.0) (360.0,124.0)
sb80 (183.0,0) (199.0,58.0)
sb81 (686.0,95.0) (726.0,145.0)
sb82 (0,144.0) (47.0,201.0)
sb83 (0,0) (22.0,16.0)
sb84 (493.0,61.0) (560.0,83.0)
sb85 (596.0,0) (616.0,25.0)
sb86 (66.0,104.0) (122.0,141.0)
sb87 (122.0,104.0) (161.0,148.0)
sb88 (66.0,53.0) (103.0,77.0)
sb89 (66.0,77.0) (104.0,104.0)
sb90 (199.0,47.0) (238.0,80.0)
sb91 (300.0,124.0) (356.0,157.0)
sb92 (0,128.0) (26.0,144.0)
sb93 (300.0,37.0) (365.0,72.0)
sb94 (498.0,83.0) (539.0,142.0)
sb95 (365.0,37.0) (416.0,56.0)
sb96 (22.0,62.0) (62.0,128.0)
sb97 (128.0,0) (145.0,67.0)
sb98 (22.0,0) (44.0,62.0)
sb99 (199.0,80.0) (248.0,146.0)
