Final area = 227762.58488477368
Black area = 19171.584884773678

block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb0 (0,288.74907) (192.88857,353.04526)
sb1 (455.63821,64.26508) (532.70961,89.95554)
sb2 (555.61086,117.34167) (630.35041,192.08122)
sb3 (537.7966,0) (640.03162,102.23502)
sb4 (555.61086,254.11347) (638.98951,337.49212)
sb5 (0,97.4269) (61.7333,159.16019)
sb6 (192.88857,225.25104) (230.97794,352.2156)
sb7 (455.63821,183.7495) (506.2307,352.39113)
sb8 (506.2307,183.7495) (555.61086,348.35003)
sb9 (0,225.25104) (190.49409,288.74907)
sb10 (327.07267,120.6059) (357.64226,222.50454)
sb11 (555.61086,192.08122) (617.64311,254.11347)
sb12 (97.4269,0) (186.75774,89.33085)
sb13 (297.63986,53.88259) (360.63192,116.87465)
sb14 (0,0) (97.4269,97.4269)
sb15 (0,159.16019) (66.09085,225.25104)
sb16 (230.91655,120.6059) (327.07267,216.76202)
sb17 (361.43099,179.11305) (414.45552,355.86146)
sb18 (230.91655,53.88259) (297.63986,120.6059)
sb19 (66.09085,97.4269) (177.26638,208.60243)
sb20 (230.97794,225.25104) (361.43099,355.7041)
sb21 (455.63821,117.34167) (522.04604,183.7495)
sb22 (361.43099,0) (446.33682,84.90583)
sb23 (186.75774,53.88259) (230.91655,201.0786)
sb24 (414.45552,179.11305) (454.30022,311.92871)
sb25 (455.63821,0) (519.90329,64.26508)
sb26 (186.75774,0) (348.40551,53.88259)
sb27 (522.04604,117.34167) (541.18501,181.13822)
sb28 (361.43099,84.90583) (455.63821,179.11305)
sb29 (455.63821,89.95554) (537.7966,117.34167)
