Final area = 236899.59068320083
Black area = 15220.590683200833

block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb0 (558.2008,137.57907) (628.16793,370.80285)
sb1 (198.41093,79.66179) (466.99053,169.18832)
sb2 (112.33655,0) (196.81731,84.48077)
sb3 (198.41093,0) (437.39629,79.66179)
sb4 (495.07236,0) (632.65143,137.57907)
sb5 (198.41093,169.18832) (482.1291,263.76104)
sb6 (495.07236,137.57907) (558.2008,348.0072)
sb7 (0,0) (112.33655,374.45516)
sb8 (198.41093,263.76104) (495.07236,362.64818)
sb9 (112.33655,84.48077) (198.41093,371.39539)
