Final area = 229709.09280324378
Black area = 31130.09280324378

block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb0 (497.33432,0) (661.87003,54.84524)
sb1 (368.51196,65.29165) (446.51196,91.29165)
sb2 (0,274.27053) (76.99351,299.93503)
sb3 (364.97426,91.29165) (391.80708,180.73437)
sb4 (497.33432,252.1741) (641.20927,300.13241)
sb5 (391.80708,156.98702) (497.33432,192.16277)
sb6 (746.49728,235.77231) (764.79482,296.76412)
sb7 (364.97426,233.65975) (475.81198,270.60566)
sb8 (391.80708,91.29165) (487.30577,123.12455)
sb9 (682.22442,111.43791) (734.68393,163.89742)
sb10 (76.99351,274.27053) (140.06489,295.29432)
sb11 (391.80708,123.12455) (493.39448,156.98702)
sb12 (130.92928,128.41035) (178.48977,175.97084)
sb13 (641.20927,159.43791) (678.35762,283.26575)
sb14 (291.10608,228.48115) (318.60153,255.97661)
sb15 (497.33432,111.43791) (641.33432,159.43791)
sb16 (322.4772,229.54263) (364.97426,272.03969)
sb17 (322.4772,91.29165) (363.9525,229.54263)
sb18 (33.88805,41.66533) (156.85146,82.65314)
sb19 (581.85651,159.43791) (609.67737,252.1741)
sb20 (368.51196,0) (433.80362,65.29165)
sb21 (497.33432,159.43791) (581.85651,243.9601)
sb22 (661.87003,0) (738.81157,76.94154)
sb23 (232.78565,152.47951) (304.33983,224.03368)
sb24 (158.88405,60.79474) (232.0004,85.16685)
sb25 (497.33432,54.84524) (642.78535,103.32891)
sb26 (345.50762,0) (368.51196,76.68116)
sb27 (276.73335,0) (322.4772,152.47951)
sb28 (0,106.48944) (33.88805,219.44961)
sb29 (158.88405,0) (219.67879,60.79474)
sb30 (33.88805,0) (158.88405,41.66533)
sb31 (0,0) (31.94683,106.48944)
sb32 (641.33432,111.43791) (682.22442,152.32801)
sb33 (33.88805,228.48115) (153.73796,268.43112)
sb34 (609.67737,159.43791) (635.03875,243.97587)
sb35 (33.88805,175.97084) (191.419,228.48115)
sb36 (682.22442,163.89742) (754.09931,235.77231)
sb37 (33.88805,128.41035) (130.92928,160.75742)
sb38 (232.78565,0) (276.73335,146.49232)
sb39 (191.419,85.16685) (232.78565,223.0557)
sb40 (140.06489,274.27053) (193.05546,291.93405)
sb41 (322.4772,0) (345.50762,76.76805)
sb42 (33.88805,85.16685) (163.61854,128.41035)
sb43 (661.87003,76.94154) (765.35916,111.43791)
sb44 (153.73796,228.48115) (291.10608,274.27053)
sb45 (304.33983,152.47951) (320.21434,205.39453)
sb46 (193.05546,274.27053) (264.04842,297.93484)
sb47 (682.22442,235.77231) (746.49728,300.04517)
sb48 (364.97426,192.16277) (489.46522,233.65975)
sb49 (433.80362,0) (493.90353,60.09992)
