Final area = 327548.1343839451
Black area = 54378.134383945086

block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb0 (302.99862,702.76262) (337.85547,714.38157)
sb1 (302.99862,779.35248) (338.99862,791.35248)
sb2 (325.66787,620.47891) (367.0925,634.28712)
sb3 (379.639,714.81745) (410.37985,745.55831)
sb4 (242.00318,723.2815) (284.42959,765.70791)
sb5 (337.85547,702.76262) (373.18251,714.53831)
sb6 (338.99862,779.35248) (394.47834,797.84572)
sb7 (285.54869,679.78437) (302.99862,737.9508)
sb8 (249.4451,765.70791) (276.94055,793.20336)
sb9 (346.47275,746.18623) (379.639,779.35248)
sb10 (373.18251,702.36755) (410.53221,714.81745)
sb11 (346.47275,714.81745) (377.84152,746.18623)
sb12 (294.90075,646.09108) (304.74453,678.90367)
sb13 (302.99862,679.78437) (371.93337,702.76262)
sb14 (379.639,745.55831) (410.03636,775.95567)
sb15 (373.18251,679.78437) (395.76569,702.36755)
sb16 (302.99862,714.81745) (346.47275,758.29158)
sb17 (220.67011,679.78437) (242.00318,750.89462)
sb18 (242.00318,679.78437) (285.50031,723.2815)
sb19 (220.67011,765.70791) (249.4451,794.4829)
sb20 (258.1401,646.09108) (266.28258,673.23268)
sb21 (325.66787,599.6943) (386.46261,619.95921)
sb22 (348.65536,509.86431) (380.51442,541.72338)
sb23 (334.33056,584.01932) (379.49692,599.07478)
sb24 (386.46261,599.6943) (407.24722,620.47891)
sb25 (334.33056,563.63142) (395.49427,584.01932)
sb26 (384.18291,634.28712) (396.25768,674.53635)
sb27 (258.1401,599.6943) (325.66787,622.20356)
sb28 (334.33056,548.93448) (363.72443,558.73244)
sb29 (285.54869,737.9508) (301.70418,791.80245)
sb30 (396.25768,634.28712) (409.21916,677.49206)
sb31 (350.24179,634.28712) (384.18291,668.22825)
sb32 (258.1401,634.28712) (293.55196,646.09108)
sb33 (304.74453,634.28712) (350.24179,679.78437)
sb34 (334.33056,426.96932) (344.54819,461.02809)
sb35 (348.65536,481.85242) (379.24948,492.05046)
sb36 (380.51442,509.86431) (408.97492,538.32481)
sb37 (350.24179,668.22825) (382.55278,678.99858)
sb38 (378.53847,426.96932) (398.51345,446.9443)
sb39 (334.33056,541.72338) (355.96386,548.93448)
sb40 (348.65536,426.96932) (378.53847,456.85242)
sb41 (334.33056,490.80504) (348.65536,538.55438)
sb42 (298.83408,559.00032) (332.74573,592.91197)
sb43 (266.28258,646.09108) (294.90075,674.70925)
sb44 (363.72443,548.93448) (407.81525,563.63142)
sb45 (334.33056,368.6598) (347.74696,413.38116)
sb46 (276.94055,765.70791) (285.54869,794.40169)
sb47 (258.1401,535.336) (329.13306,559.00032)
sb48 (348.65536,492.05046) (402.09692,509.86431)
sb49 (288.08496,437.72102) (322.02609,471.66215)
sb50 (334.33056,461.02809) (343.26364,490.80504)
sb51 (402.09692,481.85242) (410.29448,509.17762)
sb52 (347.74696,368.6598) (392.44596,383.55946)
sb53 (258.1401,622.20356) (294.1401,634.20356)
sb54 (392.44596,368.6598) (409.93881,426.96932)
sb55 (378.53847,446.9443) (406.9286,475.33444)
sb56 (347.74696,383.55946) (385.50938,421.32188)
sb57 (258.1401,368.6598) (305.63747,416.15717)
sb58 (348.65536,456.85242) (373.65536,481.85242)
sb59 (232.85617,510.90387) (256.00352,588.06171)
sb60 (288.08496,476.96386) (331.35158,491.38606)
sb61 (258.1401,416.15717) (322.83167,437.72102)
sb62 (258.1401,559.00032) (298.83408,599.6943)
sb63 (293.63658,494.64202) (334.33056,535.336)
sb64 (220.67011,510.90387) (232.85617,551.52406)
sb65 (190.72015,787.87889) (220.67011,797.86221)
sb66 (333.22986,296.23136) (408.52926,321.33116)
sb67 (322.02609,437.72102) (333.79894,476.96386)
sb68 (258.1401,494.64202) (293.63658,530.1385)
sb69 (271.00866,437.72102) (288.08496,494.64202)
sb70 (280.23929,351.50941) (326.71509,367.00134)
sb71 (220.67011,395.49261) (253.65495,428.47746)
sb72 (241.61289,470.90387) (253.61289,510.90387)
sb73 (258.1401,437.72102) (271.00866,480.61625)
sb74 (220.67011,428.47746) (241.61289,498.28672)
sb75 (280.23929,335.80378) (327.35617,351.50941)
sb76 (220.67011,641.59339) (258.1401,679.06338)
sb77 (220.67011,368.6598) (247.50293,395.49261)
sb78 (392.99851,321.33116) (407.1971,368.6598)
sb79 (220.67011,588.06171) (252.29289,619.68449)
sb80 (241.61289,428.47746) (254.34081,470.90387)
sb81 (220.67011,619.68449) (242.57901,641.59339)
sb82 (280.23929,318.14026) (333.22986,335.80378)
sb83 (220.67011,296.23136) (242.00318,367.3416)
sb84 (263.91208,296.23136) (326.16961,316.98387)
sb85 (242.00318,318.14026) (280.23929,356.37637)
sb86 (92.21635,612.8841) (163.96592,636.80063)
sb87 (346.52271,321.33116) (392.99851,367.80696)
sb88 (175.32395,708.51917) (194.88922,773.73675)
sb89 (146.3412,740.46438) (175.32395,769.44713)
sb90 (130.16369,639.36781) (163.39018,672.5943)
sb91 (116.29124,740.46438) (146.3412,770.51434)
sb92 (116.29124,681.96733) (195.94675,708.51917)
sb93 (242.00318,296.23136) (263.91208,318.14026)
sb94 (333.22986,321.33116) (346.52271,365.64068)
sb95 (92.21635,773.73675) (162.10198,797.03196)
sb96 (197.95121,554.91748) (219.29131,626.05115)
sb97 (162.10198,773.73675) (204.52838,787.87889)
sb98 (116.29124,728.14908) (153.23714,740.46438)
sb99 (187.63889,639.36781) (213.7157,665.44462)
sb100 (15.76071,676.22391) (40.13283,757.46429)
sb101 (163.96592,588.90277) (196.82927,621.76612)
sb102 (92.21635,639.36781) (130.16369,677.31514)
sb103 (116.29124,708.51917) (175.18097,728.14908)
sb104 (163.39018,639.36781) (187.63889,663.61652)
sb105 (163.96592,554.91748) (197.95121,588.90277)
sb106 (62.25753,776.39398) (82.15728,796.29373)
sb107 (195.94675,750.42656) (217.85565,772.33547)
sb108 (195.94675,681.96733) (216.48452,750.42656)
sb109 (92.21635,681.96733) (116.29124,762.21694)
sb110 (12.44186,616.36069) (82.54179,639.72733)
sb111 (162.10198,787.87889) (190.72015,797.41828)
sb112 (163.96592,539.10609) (211.40008,554.91748)
sb113 (127.31621,539.10609) (156.71009,568.49996)
sb114 (92.21635,574.20595) (130.89451,612.8841)
sb115 (76.33217,639.72733) (91.31216,689.66062)
sb116 (163.96592,626.05115) (203.91589,639.36781)
sb117 (163.39018,665.44462) (212.95832,681.96733)
sb118 (127.71283,500.49818) (198.53656,524.10609)
sb119 (92.21635,500.49818) (127.71283,535.99466)
sb120 (52.25729,719.97694) (88.25729,755.97694)
sb121 (0,776.39398) (62.25753,797.14649)
sb122 (130.89451,574.20595) (160.22027,603.5317)
sb123 (0,686.09542) (15.76071,738.63113)
sb124 (88.63189,481.48064) (145.68449,500.49818)
sb125 (52.25729,639.72733) (76.33217,719.97694)
sb126 (72.54979,757.46429) (88.79787,773.71237)
